Spike,Time
1,0.087
2,0.318
3,0.645
4,0.682
5,0.692
6,1.058
7,1.089
8,1.144
9,1.608
10,1.612
11,1.617
12,1.711
13,1.713
14,1.715
15,2.328
16,2.401
17,2.436
18,2.823
19,2.977
20,3.124
21,3.253
22,3.261
23,3.335
24,3.509
25,3.612
26,3.832
27,3.867
28,3.985
29,4.034
30,4.088
31,4.112
32,4.543
33,4.725
34,5.2
35,5.336
36,5.375
37,5.378
38,5.395
39,5.545
40,5.652
41,5.903
42,5.995
43,6.041
44,6.888
45,7.096
46,7.309
47,7.504
48,7.659
49,7.944
50,8.07
51,8.135
52,8.218
53,8.31
54,8.753
55,8.756
56,8.853
57,9.372
58,9.463
59,9.7
60,9.741
61,9.855
62,10.009
63,10.056
64,10.368
65,10.539
66,10.694
67,10.848
68,10.917
69,11.042
70,11.053
71,11.137
72,11.425
73,11.781
74,11.972
75,12.302
76,12.303
77,12.562
78,12.735
79,12.954
80,13.476
81,13.504
82,13.54
83,13.595
84,13.912
85,14.123
86,14.124
87,14.143
88,14.235
89,14.391
90,14.518
91,14.776
92,14.96
93,15.021
94,15.472
95,15.473
96,15.598
97,15.671
98,15.685
99,15.954
100,15.999
101,16.76
102,16.768
103,16.787
104,17.797
105,18.245
106,18.527
107,18.532
108,18.555
109,18.671
110,18.885
111,18.981
112,19.037
113,19.172
114,19.306
115,19.47
116,19.584
117,19.822
118,19.89
119,20.102
120,20.273
121,20.476
122,20.496
123,20.595
124,20.836
125,21.057
126,21.341
127,21.805
128,21.92
129,21.984
130,22.409
131,22.462
132,23.023
133,23.309
134,23.739
135,23.927
136,24.284
137,24.304
138,24.323
139,24.447
140,24.488
141,24.589
142,24.668
143,24.741
144,24.792
145,24.813
146,24.965
147,25.12
148,25.328
149,25.439
150,25.581
151,25.794
152,25.825
153,25.827
154,26.103
155,26.301
156,26.484
157,26.551
158,26.633
159,26.835
160,26.896
161,26.907
162,27.124
163,27.796
164,27.963
165,28.238
166,28.388
167,28.6
168,28.995
169,29.045
170,29.597
171,29.712
172,30.041
173,30.289
174,30.428
175,30.674
176,30.992
177,31.502
178,31.512
179,31.78
180,32.173
181,32.354
182,32.677
183,32.735
184,32.997
185,33.114
186,33.293
187,33.508
188,33.541
189,33.64
190,33.954
191,33.987
192,33.992
193,34.06
194,34.393
195,35.072
196,35.325
197,35.369
198,35.443
199,35.47
200,35.818
201,36.627
202,36.837
203,36.984
204,37.305
205,37.308
206,37.53
207,38.164
208,38.417
209,38.977
210,39.099
211,39.597
212,40.044
213,40.196
214,40.551
215,40.841
216,40.881
217,41.283
218,41.295
219,41.502
220,41.503
221,41.68
222,41.881
223,42.187
224,42.202
225,42.315
226,42.732
227,42.82
228,42.834
229,42.84
230,43.167
231,43.205
232,43.386
233,43.413
234,43.839
235,43.928
236,44.192
237,44.445
238,44.53
239,44.778
240,45.115
241,45.217
242,45.852
243,46.162
244,46.688
245,46.744
246,47.539
247,47.661
248,47.701
249,47.844
250,48.283
251,48.373
252,48.494
253,48.667
254,48.91
255,49.298
256,49.316
257,49.514
258,49.64
259,49.87
260,49.88
261,50.701
262,50.87
263,50.936
264,50.962
265,51.091
266,51.524
267,51.724
268,51.953
269,52.251
270,52.423
271,52.557
272,52.937
273,53.416
274,53.618
275,54.026
276,54.173
277,54.417
278,54.451
279,55.317
280,55.338
281,55.861
282,55.868
283,55.997
284,56.238
285,56.399
286,56.77
287,56.806
288,56.829
289,57.528
290,57.551
291,57.709
292,57.915
293,58.039
294,58.055
295,58.21
296,58.235
297,58.432
298,58.441
299,58.539
300,58.772
301,58.933
302,59.316
303,59.332
304,59.363
305,59.549
306,59.699
307,59.709
308,59.715
309,59.887
310,60.414
311,60.494
312,60.752
313,61.446
314,61.45
315,61.516
316,61.678
317,61.845
318,62.089
319,62.169
320,62.27
321,62.397
322,62.458
323,62.548
324,62.675
325,62.678
326,62.794
327,63.177
328,63.265
329,63.351
330,63.796
331,63.855
332,63.86
333,63.897
334,64.174
335,64.265
336,64.633
337,64.876
338,65.01
339,65.163
340,65.409
341,65.571
342,65.754
343,65.982
344,66.067
345,66.148
346,66.397
347,66.551
348,66.611
349,66.651
350,66.672
351,67.045
352,67.078
353,67.25
354,67.406
355,67.776
356,68.071
357,68.104
358,68.33
359,68.495
360,68.641
361,68.659
362,68.818
363,68.903
364,69.061
365,69.281
366,69.33
367,69.358
368,69.728
369,70.103
370,70.525
371,70.623
372,70.772
373,70.821
374,71.084
375,71.188
376,71.274
377,71.5
378,71.562
379,71.839
380,71.848
381,71.944
382,71.962
383,72.135
384,72.207
385,72.703
386,73.517
387,73.769
388,73.852
389,74.277
390,74.73
391,74.918
392,75.216
393,75.41
394,75.51
395,75.634
