Spike,Time
396,75.743
397,76.245
398,76.292
399,76.535
400,76.766
401,76.776
402,77.02
403,77.335
404,77.745
405,77.776
406,77.779
407,77.818
408,77.828
409,78.057
410,78.292
411,78.585
412,78.827
413,79.308
414,79.411
415,79.553
416,79.711
417,79.789
418,79.809
419,80.027
420,80.03
421,80.295
422,80.457
423,80.667
424,80.752
425,80.828
426,80.91
427,80.958
428,81.406
429,81.726
430,81.993
431,82.116
432,83.223
433,83.268
434,83.577
435,83.759
436,83.846
437,83.87
438,84.037
439,84.147
440,84.326
441,84.424
442,84.775
443,85.915
444,85.929
445,85.963
446,86.252
447,86.901
448,87.103
449,87.175
450,87.33
451,87.474
452,87.609
453,87.659
454,87.679
455,87.781
456,87.909
457,88.002
458,88.694
459,88.806
460,89.408
461,89.772
462,89.967
463,90.013
464,90.104
465,90.15
466,90.343
467,90.791
468,91.15
469,91.423
470,91.492
471,91.636
472,92.109
473,92.368
474,92.582
475,92.729
476,92.842
477,92.873
478,93.128
479,93.563
480,94.038
481,94.132
482,94.135
483,94.156
484,94.228
485,94.562
486,94.666
487,94.808
488,94.87
489,95.143
490,95.359
491,95.515
492,95.746
493,95.986
494,96.09
495,96.118
496,96.355
497,96.383
498,96.415
499,96.525
500,97.004
501,97.009
502,97.036
503,97.204
504,97.656
505,97.889
506,98.012
507,98.27
508,98.367
509,98.977
510,98.984
511,99.097
512,99.407
513,99.411
514,99.444
515,99.468
516,99.897
517,100.099
518,100.165
519,100.419
520,100.485
521,100.486
522,100.612
523,100.842
524,100.923
525,101.225
526,101.265
527,101.48
528,101.498
529,101.704
530,101.985
531,102.635
532,102.655
533,102.683
534,102.939
535,103.2
536,103.342
537,103.615
538,104.411
539,104.468
540,104.656
541,104.719
542,105.291
543,105.335
544,105.338
545,105.718
546,105.732
547,106.134
548,107.008
549,107.298
550,107.453
551,107.495
552,107.573
553,107.594
554,107.723
555,108.234
556,108.454
557,108.628
558,109.033
559,109.184
560,109.307
561,109.711
562,109.801
563,110.015
564,110.536
565,111.005
566,111.197
567,111.283
568,111.487
569,111.71
570,112.439
571,112.534
572,113.014
573,113.291
574,113.384
575,113.545
576,113.67
577,113.835
578,114.217
579,114.264
580,114.368
581,114.932
582,114.988
583,115.19
584,115.385
585,115.522
586,115.544
587,115.676
588,115.974
589,116.006
590,116.027
591,116.028
592,116.086
593,116.2
594,116.728
595,116.891
596,116.993
597,117.606
598,117.677
599,118.169
600,118.224
601,118.278
602,118.449
603,118.874
604,119.813
605,119.922
606,119.966
