Speed / Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
?,4.554117172,6.030960501,4.66786289,8.29085993,1.892802096,0,6.374694604,3.61172402,4.940213641,0.540568009,6.537397542,4.390261662,6.988339679,9.732109091,0,1.869797531,0.778470679,1.516854615,9.712454876,6.01527289
?,4.562779052,5.278444816,3.357103015,7.137592268,2.581523757,1.5852683,7.489082514,2.855378384,3.886904606,4.554603979,5.384409757,3.370712434,5.698201338,10.15321508,2.500789722,2.39480805,3.497347426,3.019434256,10.31935447,5.252625303
?,4.315212975,6.307805469,5.532927409,8.653134619,3.404855254,0.269109888,7.140109598,4.546969349,4.037270851,1.420306455,5.134003527,4.671178854,7.046829428,9.18362063,1.105793733,2.879366287,1.832273011,2.858473144,9.523793339,5.307515405
?,3.372309189,5.602790977,1.648186749,6.461091907,2.345496898,0.09892692,8.20797061,4.13796795,3.069419012,4.273827268,6.225255487,4.855811937,7.088617048,9.716701934,2.84008335,1.71686367,3.419956718,4.302424958,8.88076952,6.801376967
?,5.434581704,6.206862135,5.41021765,8.407664466,3.576108733,3.318850971,7.829505384,4.929319639,3.351320259,6.841251497,5.431317144,4.858344062,6.793334127,8.545366477,4.755815565,3.523373337,5.310305954,3.683518714,9.648365483,5.394597007
?,4.768079024,6.236743826,5.618859559,8.04015052,3.302566783,6.436277985,4.323569317,3.777424932,4.475231387,5.204590974,4.4091665,3.917625817,6.092773101,10.3414768,8.832595219,4.647207067,6.85821893,4.528631389,8.769660599,6.015404903
?,2.623456167,6.639653937,6.344678881,8.767516246,2.520966017,9.130677197,6.158758413,4.951017602,3.92926835,9.199113679,6.175943903,2.537156875,6.484089628,9.301160939,11.06942335,2.071752676,9.254828772,3.703832809,9.008158707,5.362354367
?,2.173947146,5.217489906,3.632307464,7.674392989,3.09077588,11.28609453,7.296665245,4.001886534,5.461807239,11.35181356,7.366803357,4.902158491,5.87208989,9.166584537,13.23011983,2.063319253,13.24543446,4.731346558,7.464530398,7.049254773
?,5.104401132,5.193411847,2.991094412,7.617802675,3.013863601,7.149175351,8.248221093,2.219830328,3.685867263,9.946621088,5.433457225,5.456120449,6.55606711,8.001909234,11.43531874,1.757537443,13.61558857,4.404447655,7.701388829,7.497613023
?,2.303224057,3.882597635,5.151449525,6.498594433,4.688511687,10.07750426,7.555474792,3.654166934,3.93440417,12.49378216,5.462399758,2.685931247,5.757233986,8.50108152,12.59957996,3.563663404,13.41274601,2.203937896,9.17745673,5.333126931
?,3.17402745,5.542417086,4.571879451,7.352596107,2.509284318,12.7356048,7.356320348,4.287130287,4.295196313,13.80278772,5.25361627,3.960254328,5.566360109,8.200229267,14.91492843,3.680431595,13.72737964,4.347646624,8.786606988,5.924900611
?,3.908116082,5.980085003,3.543054459,9.17679854,2.867345325,13.73523713,7.561423329,4.177499243,3.979589403,16.56415601,6.113420012,3.065405115,4.554243395,9.239050124,17.77710062,2.709606994,17.63310258,4.524943383,8.395143318,5.680978847
?,2.908720872,5.445492584,3.179773923,6.733581092,3.586952202,14.22008746,7.030298038,5.316619613,3.542375724,17.25755355,5.092911626,3.296277062,6.056344607,8.748922969,22.06971315,3.078942428,20.2458993,4.665945207,9.91606803,5.224366673
?,2.800241855,5.227248897,4.797435426,9.48147736,2.144259851,13.70923054,6.718029943,5.128613825,4.32234443,15.95652092,4.482647987,4.056961997,5.49785032,10.23551635,16.95796752,2.664990379,17.13842615,2.771306674,8.996592298,6.689251609
?,3.988936523,4.188876094,5.792057829,5.915457641,2.776623214,10.88010388,7.44293566,5.075758734,3.188406728,13.3527648,6.183649393,4.61837833,6.457894156,8.802724082,13.35242645,2.425156189,16.63525009,3.741342782,9.341247189,5.515939756
